,name,link,types
50,CM-AM Europe Dividendes RD,0P0000Z817,OPC
51,R-co 4Change Net Zero Equity Euro C EUR,MP-828155,OPC
52,abrdnI-Europe ex UK Sust Equity A AccEUR,MP-217910,OPC
53,Allianz Valeurs Durables RC,MP-829569,OPC
54,Allianz German Equity AT EUR,0P0000X891,OPC
55,Allianz Actions Euro Innovation C,MP-804927,OPC
56,BNP Paribas Développement Humain C,MP-805108,OPC
57,HSBC Euro Equity Volatility Focused A,MP-806336,OPC
58,BNP Paribas Actions Patrimoine ISR C C,MP-800223,OPC
59,BNP Paribas Actions Patrimoine ISR C D,MP-806288,OPC
60,DNCA Actions Small&Mid Cap Euro RC,MP-496450,OPC
61,Invesco Euro Equity A EUR Acc,0P00016PEL,OPC
62,Comgest Renaissance Europe C,MP-829523,OPC
63,Fidelity Germany A-Dis-EUR,MP-434112,OPC
64,Fidelity Sustainable Euroz Eq A-Acc-EUR,MP-217600,OPC
65,Allianz Actions Euro Innovation D,MP-829704,OPC
66,Mirova Actions Euro RC,0P00016P4O,OPC
67,Ofi Invest ESG Euro Equity R,0P0001BLFP,OPC
68,Tocqueville Megatrends ISR C,MP-806641,OPC
69,Mirova Euro Sustainable Eq R/C EUR,0P000100RL,OPC
70,Invesco Euro Equity E EUR Acc,0P00016PEN,OPC
71,Tocqueville Value Europe ISR P,MP-804104,OPC
72,Lazard Small Caps Euro SRI R,MP-442585,OPC
73,CM-AM Euro Equities RC,MP-805788,OPC
74,LCL Actions Euro D,MP-809562,OPC
75,Allianz Actions Euro Convictions C,MP-804290,OPC
76,BNP Paribas Euro Equity C C,0P0000YSY7,OPC
77,BNP Paribas Euro Equity C D,0P0000YSY8,OPC
78,HSBC Europe Small & Mid Cap AC,MP-803647,OPC
79,HSBC Europe Small & Mid Cap AD,MP-803648,OPC
80,HSBC GIF Euroland Eq Smlr Coms AC,MP-358626,OPC
81,R-co 4Change Equity Euro C,MP-828585,OPC
82,BNP Paribas Sélection Dynamique PEA,MP-802701,OPC
83,Carmignac Absolute Ret Eur A EUR Acc,MP-802605,OPC
84,La Française Actions EURCO2 Responsable R,MP-632366,OPC
85,Echiquier Climate & Biodivs Impct Eurp A,0P0001LG9T,OPC
86,Allianz Actions Aéquitas R C/D,MP-804793,OPC
87,Lazard Alpha Euro SRI R,MP-540959,OPC
88,LMdG Familles & Entrepreneurs (EUR) P,MP-807229,OPC
89,Schroder ISF EURO Equity A Acc EUR,MP-357219,OPC
90,Federal Indiciel Apal P,MP-806038,OPC
91,DNCA Evolutif PEA C,MP-815038,OPC
92,Palatine Planète I,MP-807435,OPC
93,HSBC RIF SRI Euroland Equity AC,MP-802363,OPC
94,Tocqueville Dividende ISR C,MP-804712,OPC
95,Tocqueville Dividende ISR D,MP-804713,OPC
96,Dorval Convictions PEA RC,MP-801528,OPC
97,Amplegest Pricing Power AC,MP-815031,OPC
98,Federal Focus European Economy P,MP-804235,OPC
99,BNPP Best Sélection Actions Euro ISR CC,MP-805458,OPC
100,BNPP Best Sélection Actions Euro ISR CD,MP-829697,OPC
101,Echiquier Value Euro A,0P0000XTRG,OPC
102,DNCA Opportunites Zone Euro C,0P000155QH,OPC
103,Centifolia D,MP-805275,OPC
104,Centifolia C,MP-805274,OPC
105,DPAM B Eqs Eur Sm Cap Sust B,MP-590661,OPC
106,CM-AM Japon 225 YEN,0P000150V8,OPC
107,Lazard Investissement PEA-PME R,0P00012D6M,OPC
108,Dorval Manageurs R C,MP-806677,OPC
109,BNP Paribas Smallcap Euroland ISR C C,0P000015L9,OPC
110,BNP Paribas Smallcap Euroland ISR C D,0P000015LA,OPC
111,Dorval Manageurs Europe R C,0P0000U4TM,OPC
112,Allianz Euroland Equity Growth AT EUR,MP-998983,OPC
113,HSBC RIF Europe Eq Green Transition AC,MP-805038,OPC
114,HSBC RIF Europe Eq Green Transition AD,MP-805039,OPC
115,Echiquier Alpha Major SRI A,0P0001HHSO,OPC
116,R-co Conviction Equity Value Euro C EUR,MP-806533,OPC
117,AXA France Opportunités C,MP-803777,OPC
118,AXA France Opportunités D,MP-805560,OPC
119,Generali Investissement C,MP-829362,OPC
120,LCL Actions Euro Futur C,MP-800611,OPC
121,Generali Investissement D,MP-806095,OPC
122,Mandarine Europe Microcap R EUR,0P00018KOU,OPC
123,Generali IS Euro Future Leaders DX,MP-175357,OPC
124,R-co Conviction Equity Value Euro F EUR,MP-570104,OPC
125,Seeyond Euro Sustainable Minvol R,MP-829756,OPC
126,AXA Indice France C,MP-931698,OPC
127,AXA Indice France D,MP-828910,OPC
128,Tocqueville Small Cap Euro ISR D,MP-801491,OPC
129,Tocqueville Small Cap Euro ISR C,MP-801490,OPC
130,Ofi Invest ESG Equity Climate Change RC,0P0001C8KS,OPC
131,Thematics Europe Sélection RC,MP-809846,OPC
132,Thematics Europe Sélection RD,MP-829720,OPC
133,Echiquier Agenor SRI Mid Cap Europe A,MP-805948,OPC
134,CM-AM Sustainable Planet RC,MP-804098,OPC
135,BNP Paribas Indice France ESG Classic C,MP-800939,OPC
136,BNP Paribas Indice France ESG Classic D,MP-802810,OPC
137,Mandarine Unique S&M Caps Europe R EUR,MP-683859,OPC
138,Fidelity Europe A,MP-804891,OPC
139,OFI Invest Act4 Positive Eco R C EUR,0P00015TUP,OPC
140,DNCA SRI Euro Quality RC,MP-829520,OPC
141,DNCA SRI Euro Quality RD,MP-805881,OPC
142,CM-AM Human Care RC,0P000175VV,OPC
143,LCL Actions France D,MP-809511,OPC
144,CM-AM Equilibre Europe C,MP-804903,OPC
145,R-co Opal Equity Europe,MP-805184,OPC
146,CM-AM Equilibre Europe D,MP-802693,OPC
147,Richelieu Family R,0P00012DC3,OPC
148,BNP Paribas Floréal 70 Classic C,0P00011W9I,OPC
149,Pluvalca Sustainable Opportunities A,0P0001FG1E,OPC
150,DWS Invest German Equities LC,0P0000WUYZ,OPC
151,AXA PEA Régularité C,MP-804325,OPC
152,AXA PEA Régularité D,MP-805421,OPC
153,CM-AM Europe Growth RC,MP-802280,OPC
154,Pluvalca Allcaps A,MP-803638,OPC
155,HSBC Actions France AC,MP-803749,OPC
156,HSBC Actions France AD,MP-803513,OPC
157,HSBC Actions Patrimoine AC,MP-802666,OPC
158,HSBC Actions Patrimoine AD,MP-806210,OPC
159,Cogefi Valeur P,MP-805425,OPC
160,LCL Sérénité PEA C,MP-804644,OPC
161,Richelieu Pragma Europe R,MP-804146,OPC
162,Mandarine Valeur R,MP-192236,OPC
163,DNCA Invest SRI Europe Gr B EUR,0P0000XTFE,OPC
164,R-co Conviction France C,MP-805895,OPC
165,Richelieu Cityzen RD,0P00017S0H,OPC
166,Richelieu Cityzen R,MP-805486,OPC
167,Clartan Europe C,0P000156ZV,OPC
168,R-co Conviction France FC,0P0000TKNY,OPC
169,Tocqueville France ISR C,MP-805715,OPC
170,Tocqueville France ISR D,MP-805716,OPC
171,Gay-Lussac Microcaps Europe P,0P0001J8W1,OPC
172,AXA France Small Cap C,MP-828908,OPC
173,AXA France Small Cap D,MP-828909,OPC
174,Generali France Future Leaders C,MP-805185,OPC
