,Unnamed: 0.1,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,0.0,2018-03-02,59.6,59.6,59.6,59.6,0
1,1.0,1.0,2018-03-05,59.53,59.7,59.7,59.53,0
2,2.0,2.0,2018-03-06,60.02,61.25,61.25,60.02,0
3,3.0,3.0,2018-03-07,61.12,60.26,61.12,60.26,0
4,4.0,4.0,2018-03-08,60.28,59.87,60.28,59.87,0
5,5.0,5.0,2018-03-09,59.64,60.0,60.0,59.64,0
6,6.0,6.0,2018-03-12,59.64,59.86,59.86,59.64,0
7,7.0,7.0,2018-03-13,59.74,60.3,60.3,59.74,0
8,8.0,8.0,2018-03-14,60.23,60.34,60.34,60.23,0
9,9.0,9.0,2018-03-15,60.13,59.26,60.13,59.26,0
10,10.0,10.0,2018-03-16,59.27,59.48,59.48,59.27,0
11,11.0,11.0,2018-03-19,59.04,59.34,59.34,59.04,0
12,12.0,12.0,2018-03-20,59.38,58.75,59.38,58.75,0
13,13.0,13.0,2018-03-21,59.23,59.75,59.75,59.23,0
14,14.0,14.0,2018-03-22,60.19,59.96,60.19,59.96,0
15,15.0,15.0,2018-03-23,60.28,61.57,61.57,60.28,0
16,16.0,16.0,2018-03-26,61.73,61.73,61.73,61.73,0
17,17.0,17.0,2018-03-27,61.67,61.67,61.67,61.67,0
18,18.0,18.0,2018-03-28,60.13,60.13,60.13,60.13,0
19,19.0,19.0,2018-03-29,60.28,60.61,60.61,59.95,39
20,20.0,20.0,2018-04-03,61.67,61.52,61.67,61.52,1338
21,21.0,21.0,2018-04-04,60.89,60.89,60.89,60.89,0
22,22.0,22.0,2018-04-06,60.69,61.26,61.26,60.69,0
23,23.0,23.0,2018-04-09,61.34,60.79,61.34,60.79,1318
24,24.0,24.0,2018-04-10,60.84,61.41,61.41,60.84,0
25,25.0,25.0,2018-04-11,61.73,61.73,61.73,61.73,0
26,26.0,26.0,2018-05-08,61.85,61.85,61.85,61.85,0
27,27.0,27.0,2018-05-15,61.69,61.69,61.69,61.69,0
28,28.0,28.0,2018-05-16,61.4,61.29,61.4,61.29,0
29,29.0,29.0,2018-05-17,61.33,61.14,61.33,61.14,0
30,30.0,30.0,2018-05-18,61.09,60.74,61.09,60.74,0
31,31.0,31.0,2018-05-21,61.16,60.71,61.16,60.71,1000
32,32.0,32.0,2018-05-22,60.83,61.28,61.28,60.83,0
33,33.0,33.0,2018-05-23,61.05,61.05,61.05,61.05,0
34,34.0,34.0,2018-05-25,61.65,61.65,61.65,61.65,0
35,35.0,35.0,2018-05-28,60.91,60.91,60.91,60.91,0
36,36.0,36.0,2018-05-29,61.16,61.58,61.58,61.16,1000
37,37.0,37.0,2018-05-30,61.23,61.55,61.55,61.23,1000
38,38.0,38.0,2018-05-31,61.54,61.54,61.54,61.54,0
39,39.0,39.0,2018-06-01,61.66,61.68,61.68,61.66,0
40,40.0,40.0,2018-06-04,61.57,61.57,61.57,61.57,0
41,41.0,41.0,2018-06-05,61.14,61.54,61.54,61.14,0
42,42.0,42.0,2018-06-06,61.83,61.58,61.83,61.56,220
43,43.0,43.0,2018-06-07,61.76,61.54,61.76,61.54,0
44,44.0,44.0,2018-06-08,61.12,61.09,61.12,61.09,0
45,45.0,45.0,2018-06-11,61.23,61.61,61.61,61.23,0
46,46.0,46.0,2018-06-12,61.42,61.57,61.57,61.42,0
47,47.0,47.0,2018-06-13,61.43,61.68,61.68,61.43,0
48,48.0,48.0,2018-06-14,61.59,61.9,61.9,61.59,0
49,49.0,49.0,2018-06-15,61.71,60.59,61.71,60.59,0
50,50.0,50.0,2018-06-18,60.61,60.73,60.73,60.61,0
51,51.0,51.0,2018-06-19,60.43,60.43,60.43,60.43,0
52,52.0,52.0,2018-06-20,60.3,60.33,60.33,60.3,0
53,53.0,53.0,2018-06-21,59.66,59.96,59.96,59.66,0
54,54.0,54.0,2018-06-22,60.05,60.63,60.63,60.05,0
55,55.0,55.0,2018-06-25,60.38,59.98,60.38,59.98,0
56,56.0,56.0,2018-06-26,59.98,59.84,59.98,59.84,0
57,57.0,57.0,2018-06-27,59.79,59.76,59.79,59.76,0
58,58.0,58.0,2018-06-28,60.07,60.07,60.07,60.07,0
59,59.0,59.0,2018-06-29,60.26,61.23,61.23,60.26,0
60,60.0,60.0,2018-07-02,60.64,60.64,60.64,60.64,0
61,61.0,61.0,2018-07-03,61.82,61.82,61.82,61.82,0
62,62.0,62.0,2018-07-10,61.78,61.68,61.78,61.68,0
63,63.0,63.0,2018-07-11,61.4,60.66,61.4,60.66,0
64,64.0,64.0,2018-07-12,60.25,60.75,60.75,60.25,0
65,65.0,65.0,2018-07-13,60.38,60.25,60.38,60.25,0
66,66.0,66.0,2018-07-16,60.03,59.87,60.03,59.87,0
67,67.0,67.0,2018-07-17,59.61,59.61,59.61,59.61,0
68,68.0,68.0,2018-07-18,59.41,59.51,59.52,59.41,4
69,69.0,69.0,2018-07-19,59.33,59.17,59.33,59.17,0
70,70.0,70.0,2018-07-20,59.43,59.43,59.43,59.43,0
71,71.0,71.0,2018-07-23,59.42,58.52,59.42,58.52,0
72,72.0,72.0,2018-07-24,58.62,58.62,58.62,58.62,0
73,73.0,73.0,2018-07-25,58.73,58.46,58.73,58.46,0
74,74.0,74.0,2018-07-26,58.69,58.69,58.69,58.69,0
75,75.0,75.0,2018-08-10,56.0,56.0,56.0,56.0,0
76,76.0,76.0,2018-08-13,55.66,54.75,55.66,54.75,0
77,77.0,77.0,2018-08-14,54.91,54.01,54.91,54.01,0
78,78.0,78.0,2018-08-15,53.4,50.79,53.4,50.79,0
79,79.0,79.0,2018-08-16,50.85,50.6,50.85,50.6,0
80,80.0,80.0,2018-08-17,49.86,50.85,50.85,49.86,0
81,81.0,81.0,2018-08-20,51.17,50.77,51.17,50.77,0
82,82.0,82.0,2018-08-21,51.2,51.13,51.2,51.13,0
83,83.0,83.0,2018-08-22,51.21,51.68,51.68,51.21,0
84,84.0,84.0,2018-08-23,51.19,50.8,51.19,50.8,0
85,85.0,85.0,2018-08-24,50.47,51.71,52.11,50.47,434
86,86.0,86.0,2018-08-27,51.64,52.02,52.02,51.64,0
87,87.0,87.0,2018-08-28,52.33,52.07,52.33,52.07,0
88,88.0,88.0,2018-08-29,51.78,51.59,51.78,51.59,0
89,89.0,89.0,2018-08-30,51.5,50.99,51.5,50.99,0
90,90.0,90.0,2018-08-31,50.58,50.58,50.58,50.58,0
91,91.0,91.0,2018-09-03,50.37,50.41,50.41,50.37,0
92,92.0,92.0,2018-09-04,50.19,49.64,50.19,49.64,1000
93,93.0,93.0,2018-09-05,48.64,48.45,48.64,48.45,0
94,94.0,94.0,2018-09-06,47.98,48.44,48.44,47.98,0
95,95.0,95.0,2018-09-07,48.34,48.31,48.34,48.31,0
96,96.0,96.0,2018-09-10,48.2,48.2,48.2,48.2,0
97,97.0,97.0,2018-09-11,47.85,47.44,47.85,47.44,0
98,98.0,98.0,2018-09-12,47.56,48.59,48.59,47.56,0
99,99.0,99.0,2018-09-13,48.99,49.06,49.06,48.99,0
100,100.0,100.0,2018-09-14,49.23,49.14,49.23,49.14,0
101,101.0,101.0,2018-09-17,49.09,49.88,49.88,49.09,0
102,102.0,102.0,2018-09-18,49.75,49.97,49.97,49.75,0
103,103.0,103.0,2018-09-19,50.34,51.09,51.09,50.34,0
104,104.0,104.0,2018-09-20,51.18,51.03,51.18,51.03,0
105,105.0,105.0,2018-09-21,50.97,51.27,51.27,50.97,1000
106,106.0,106.0,2018-09-24,50.85,51.53,51.53,50.85,0
107,107.0,107.0,2018-09-25,51.16,51.89,51.89,51.16,0
108,108.0,108.0,2018-09-26,51.48,50.96,51.48,50.96,0
109,109.0,109.0,2018-09-27,50.06,50.21,50.21,49.56,1000
110,110.0,110.0,2018-09-28,50.27,50.67,50.67,50.27,0
111,111.0,111.0,2018-10-01,50.32,50.61,50.61,50.32,0
112,112.0,112.0,2018-10-02,50.46,51.5,51.5,50.46,1000
113,113.0,113.0,2018-10-03,51.58,51.58,51.58,51.58,0
114,114.0,114.0,2018-10-04,51.19,51.07,51.19,51.07,0
115,115.0,115.0,2018-10-05,51.06,50.76,51.06,50.76,0
116,116.0,116.0,2018-10-08,50.59,49.79,50.59,49.79,0
117,117.0,117.0,2018-10-09,50.95,50.18,50.95,50.18,0
118,118.0,118.0,2018-10-10,50.15,49.66,50.15,49.66,0
119,119.0,119.0,2018-10-11,50.83,53.02,53.02,50.83,0
120,120.0,120.0,2018-10-12,54.37,53.24,54.37,53.24,0
121,121.0,121.0,2018-10-15,54.25,55.33,55.33,54.25,0
122,122.0,122.0,2018-10-16,55.11,55.03,55.43,55.03,26
123,123.0,123.0,2018-10-17,54.64,54.69,54.69,54.64,0
124,124.0,124.0,2018-10-18,54.3,55.5,55.5,54.3,0
125,125.0,125.0,2018-10-19,55.22,55.22,55.22,55.22,0
126,126.0,126.0,2018-10-22,54.5,54.5,54.5,54.5,0
127,127.0,127.0,2018-10-23,54.87,54.87,54.87,54.87,0
128,128.0,128.0,2018-10-24,55.51,54.69,55.51,54.69,0
129,129.0,129.0,2018-10-25,55.2,52.73,55.2,52.73,0
130,130.0,130.0,2018-10-26,53.25,53.25,53.25,53.25,0
131,131.0,131.0,2018-10-29,52.4,52.84,52.84,52.4,1000
